"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2011","Luxembourg","Number","Total","Total","1 439",""
"2011","Luxembourg","Number","Less than 35 years","Total","73",""
"2011","Luxembourg","Number","From 35 to 44 years","Total","313",""
"2011","Luxembourg","Number","From 45 to 54 years","Total","566",""
"2011","Luxembourg","Number","From 55 to 64 years","Total","385",""
"2011","Hungary","Number","Total","Total","29 500",""
"2011","Hungary","Number","Less than 35 years","Total","4 655",""
"2011","Hungary","Number","From 35 to 44 years","Total","5 699",""
"2011","Hungary","Number","From 45 to 54 years","Total","7 304",""
"2011","Hungary","Number","From 55 to 64 years","Total","7 541",""
"2011","Malta","Number","Total","Total","1 319","b"
"2011","Malta","Number","Less than 35 years","Total","519","b"
"2011","Malta","Number","From 35 to 44 years","Total","235","b"
"2011","Malta","Number","From 45 to 54 years","Total","372","b"
"2011","Malta","Number","From 55 to 64 years","Total","124","b"
"2011","Netherlands","Number","Total","Total","52 295",""
"2011","Netherlands","Number","Less than 35 years","Total","14 358",""
"2011","Netherlands","Number","From 35 to 44 years","Total","12 404",""
"2011","Netherlands","Number","From 45 to 54 years","Total","12 915",""
"2011","Netherlands","Number","From 55 to 64 years","Total","11 117",""
"2011","Austria","Number","Total","Total","40 634",""
"2011","Austria","Number","Less than 35 years","Total","7 675",""
"2011","Austria","Number","From 35 to 44 years","Total","9 910",""
"2011","Austria","Number","From 45 to 54 years","Total","13 669",""
"2011","Austria","Number","From 55 to 64 years","Total","7 506",""
"2011","Poland","Number","Total","Total","84 221",""
"2011","Poland","Number","Less than 35 years","Total",":",""
"2011","Poland","Number","From 35 to 44 years","Total",":",""
"2011","Poland","Number","From 45 to 54 years","Total",":",""
"2011","Poland","Number","From 55 to 64 years","Total",":",""
"2011","Portugal","Number","Total","Total","42 054",""
"2011","Portugal","Number","Less than 35 years","Total",":",""
"2011","Portugal","Number","From 35 to 44 years","Total",":",""
"2011","Portugal","Number","From 45 to 54 years","Total",":",""
"2011","Portugal","Number","From 55 to 64 years","Total",":",""
"2011","Romania","Number","Total","Total","51 153",""
"2011","Romania","Number","Less than 35 years","Total","15 719",""
"2011","Romania","Number","From 35 to 44 years","Total","12 807",""
"2011","Romania","Number","From 45 to 54 years","Total","11 451",""
"2011","Romania","Number","From 55 to 64 years","Total","9 779",""
"2011","Slovenia","Number","Total","Total","5 121",""
"2011","Slovenia","Number","Less than 35 years","Total","1 037",""
"2011","Slovenia","Number","From 35 to 44 years","Total","1 284",""
"2011","Slovenia","Number","From 45 to 54 years","Total","1 427",""
"2011","Slovenia","Number","From 55 to 64 years","Total","1 106",""
"2011","Slovakia","Number","Total","Total","17 849",""
"2011","Slovakia","Number","Less than 35 years","Total","3 529",""
"2011","Slovakia","Number","From 35 to 44 years","Total","4 444",""
"2011","Slovakia","Number","From 45 to 54 years","Total","3 700",""
"2011","Slovakia","Number","From 55 to 64 years","Total","4 878",""
"2011","Finland","Number","Total","Total","17 589","e"
"2011","Finland","Number","Less than 35 years","Total","3 424","e"
"2011","Finland","Number","From 35 to 44 years","Total","4 436","e"
"2011","Finland","Number","From 45 to 54 years","Total","5 373","e"
"2011","Finland","Number","From 55 to 64 years","Total","4 356","e"
"2011","Sweden","Number","Total","Total","36 743",""
"2011","Sweden","Number","Less than 35 years","Total","6 652",""
"2011","Sweden","Number","From 35 to 44 years","Total","9 195",""
"2011","Sweden","Number","From 45 to 54 years","Total","8 174",""
"2011","Sweden","Number","From 55 to 64 years","Total","9 431",""
"2011","Iceland","Number","Total","Total","1 118",""
"2011","Iceland","Number","Less than 35 years","Total","152",""
"2011","Iceland","Number","From 35 to 44 years","Total","174",""
"2011","Iceland","Number","From 45 to 54 years","Total","355",""
"2011","Iceland","Number","From 55 to 64 years","Total","328",""
"2011","Liechtenstein","Number","Total","Total","111",""
"2011","Liechtenstein","Number","Less than 35 years","Total","2",""
"2011","Liechtenstein","Number","From 35 to 44 years","Total","26",""
"2011","Liechtenstein","Number","From 45 to 54 years","Total","40",""
"2011","Liechtenstein","Number","From 55 to 64 years","Total","37",""
"2011","Norway","Number","Total","Total","20 744",""
"2011","Norway","Number","Less than 35 years","Total","5 276",""
"2011","Norway","Number","From 35 to 44 years","Total","5 573",""
"2011","Norway","Number","From 45 to 54 years","Total","4 306",""
"2011","Norway","Number","From 55 to 64 years","Total","4 010",""
