"TIME","Pais","Generalist_medical_practitioners","Specialist_medical_practitioners","General_paediatricians","AGE_Total","AGE_Less_35","AGE_35_44","AGE_45_54","AGE_55_64"
2015,"Finland",6837,10648,696,18719,4149,4125,3712,4785
2015,"Sweden",6350,21974,1043,18258,3736,4530,5121,4871
2015,"Iceland",191,725,14,40899,7884,11003,8427,8665
2015,"Liechtenstein",35,85,6,1249,230,198,285,351
2015,"Norway",4323,9443,760,120,4,27,42,37
2015,"Switzerland",9570,20313,1692,22848,5982,6719,4378,3930
2015,"United Kingdom",50169,130719,9910,34762,4328,8911,9660,8589
2015,"Montenegro",273,1217,166,179162,58108,52228,40445,19779
2015,"North Macedonia",1967,4008,396,1490,300,478,379,333
2015,"Albania",4571,2087,1420,5975,1172,1416,1496,1891
2015,"Serbia",6239,15601,1943,21840,2897,6492,6730,5644
2015,"Turkey",44646,96613,6888,141259,44077,40065,32601,13488
2016,"Belgium",12929,21424,1532,34834,3275,7664,8258,9457
2016,"Bulgaria",4561,24931,1467,29492,3421,3060,8573,9968
2016,"Czechia",7371,31405,1296,38776,7430,8631,8656,9797
2016,"Denmark",4582,10083,457,22902,4603,6459,4394,5042
2016,"Germany (until 1990 former territory of the FRG)",79847,264908,13758,344755,69019,41758,80976,133558
2016,"Estonia",1061,3487,173,4548,865,624,1008,1208
2016,"Ireland",8514,6627,445,15178,4136,4187,3436,2396
2016,"Greece",4521,52839,4133,65972,10264,20810,16538,13675
2016,"Spain",34797,117141,12189,177731,35366,43133,40233,51133
2016,"France",94328,115039,7965,209367,26322,39464,48068,69506
2016,"Croatia",3406,10098,842,13504,3279,3040,3234,3538
2016,"Italy",54063,185579,17651,239642,20377,40638,48271,98969
2016,"Cyprus",786,2423,246,3209,306,767,706,902
2016,"Latvia",1412,4883,246,6295,996,757,1583,1854
2016,"Lithuania",2873,9939,751,13681,3368,2035,2983,3397
2016,"Luxembourg",505,1178,92,1683,73,388,511,527
2016,"Hungary",7096,25615,2371,31515,6381,5507,6315,7821
2016,"Malta",360,926,76,1743,760,332,321,244
2016,"Netherlands",27060,33173,1725,60233,18147,14688,12157,12414
2016,"Austria",13834,23814,1335,44816,8452,11813,11912,10207
2016,"Poland",16052,75678,5533,91730,3421,6459,8258,9457
2016,"Portugal",26100,24905,2032,49541,3421,6459,8258,9457
2016,"Romania",15211,40764,2598,55975,16680,13677,12336,11100
2016,"Slovenia",1405,4514,605,6224,1683,1526,1357,1354
2016,"Finland",6849,10648,703,18864,4264,3862,3958,4603
2016,"Sweden",6388,22300,1026,18258,3736,4510,5258,4805
2016,"Iceland",213,818,20,41993,7966,11472,8632,8632
2016,"Liechtenstein",37,87,5,1292,186,249,288,370
2016,"Norway",4409,9760,804,124,5,25,45,37
2016,"Switzerland",9601,20993,1770,23619,6177,7021,4473,3990
2016,"United Kingdom",50080,132657,10135,35592,4430,8943,9847,8853
2016,"Montenegro",284,1332,182,181249,58657,52617,41051,20331
2016,"North Macedonia",2070,4140,415,1616,389,494,360,373
2016,"Albania",4582,2087,1467,6210,1290,1531,1407,1982
2016,"Serbia",6061,14792,1934,20853,2616,6296,6114,5756
2016,"Turkey",46107,98720,7125,144827,45232,39777,33841,14377
2017,"Belgium",12992,21630,1563,35069,3586,7566,8293,9250
2017,"Bulgaria",4650,25387,1475,30037,3744,2886,8164,10385
2017,"Czechia",7371,31405,1296,38776,7430,8631,8656,9797
2017,"Denmark",4616,10355,469,23688,5084,6618,4558,4909
2017,"Germany (until 1990 former territory of the FRG)",81411,269784,14023,351195,70682,43325,80318,135664
2017,"Estonia",1059,3510,172,4569,903,639,930,1204
2017,"Ireland",8763,6861,451,15660,4317,4327,3498,2448
2017,"Greece",4651,53258,4258,65240,9841,18921,17386,13423
2017,"Spain",35378,118356,12389,180633,37134,43166,38766,52400
2017,"France",94889,116273,8075,211162,29027,40667,46167,67536
2017,"Croatia",3321,10564,864,13885,3482,3112,3216,3594
2017,"Italy",53691,187821,17354,241512,20652,41789,46123,95419
2017,"Cyprus",833,2492,248,3325,327,804,705,892
2017,"Latvia",1414,4811,248,6225,1079,687,1495,1870
2017,"Lithuania",2971,9916,716,13731,3421,2051,2879,3399
2017,"Luxembourg",534,1246,98,1781,85,414,509,559
2017,"Hungary",6855,25615,2371,32543,6628,5518,6296,7961
2017,"Malta",379,984,81,1855,813,360,297,292
2017,"Netherlands",27730,34000,1770,61730,19013,14968,12200,12401
2017,"Austria",13745,24218,1359,45596,8610,12098,11337,11000
2017,"Poland",15908,74376,5497,90284,3744,6618,8164,9250
2017,"Portugal",27076,25642,2085,51241,3744,6618,8164,9250
2017,"Romania",15020,42309,2655,57329,17423,14133,12312,10866
2017,"Slovenia",1400,4758,648,6408,1573,1604,1339,1450
2017,"Finland",6849,10648,703,18608,4260,3654,3988,4339
2017,"Sweden",6411,22669,1083,18258,3736,4510,5258,4805
2017,"Iceland",209,796,18,42898,7441,11636,9004,8440
2017,"Liechtenstein",46,92,5,1330,229,237,293,364
2017,"Norway",4566,10445,875,138,11,28,42,40
2017,"Switzerland",9628,21658,1817,24583,6445,7292,4694,4058
2017,"United Kingdom",49824,136097,10464,36324,4584,8886,9955,9132
2017,"Montenegro",303,1356,189,184384,60009,53821,42732,21962
2017,"North Macedonia",2032,4187,428,1659,398,498,357,406
2017,"Albania",4650,2087,1475,6219,1216,1571,1302,2130
2017,"Serbia",6084,14689,1919,20773,2640,6196,5865,5992
2017,"Turkey",47999,101998,7362,149997,46847,41197,35049,14890
2018,"Belgium",13178,22062,1586,35762,4111,7618,8195,9109
2018,"Bulgaria",4322,25303,1735,29625,3936,2926,7642,10249
2018,"Czechia",6981,34441,1424,42919,9675,9479,9488,8103
2018,"Denmark",4649,10498,485,24301,5514,6765,4670,4801
2018,"Germany (until 1990 former territory of the FRG)",82757,274644,14093,357401,71792,45013,80045,137536
2018,"Estonia",1097,3508,163,4605,954,633,899,1214
2018,"Ireland",8965,6977,492,15962,4350,4000,3755,2595
2018,"Greece",4390,55161,4278,65513,10630,17778,17945,13912
2018,"Spain",35798,121561,12610,188166,40133,45200,39967,53100
2018,"France",94923,117414,8134,212337,31223,41963,44347,65566
2018,"Croatia",3507,10568,898,14075,3710,3104,3168,3633
2018,"Italy",52998,187303,16968,240301,20708,41420,44142,90636
2018,"Cyprus",912,2632,253,3544,353,861,746,905
2018,"Latvia",1411,4956,249,6367,1306,653,1397,1901
2018,"Lithuania",2884,9997,710,12881,3009,1895,2489,3330
2018,"Luxembourg",505,1178,92,1683,73,390,511,527
2018,"Hungary",7096,25903,2383,33078,6976,5467,6051,7845
2018,"Malta",396,1058,87,1925,839,382,280,325
2018,"Netherlands",28708,34525,1818,63233,20087,15293,12145,12188
2018,"Austria",15006,23246,1313,46337,8670,12255,10831,11772
2018,"Poland",15908,74376,5497,90284,4111,7618,8195,9109
2018,"Portugal",27664,26814,2135,52966,4111,7618,8195,9109
2018,"Romania",14891,44442,2710,59333,18572,14314,12535,10718
2018,"Slovenia",1405,5012,660,6591,1626,1689,1338,1441
2018,"Finland",6849,10648,703,19178,4343,3718,4369,4028
2018,"Sweden",6388,22300,1043,18258,3736,4510,5258,4805
2018,"Iceland",218,802,15,41993,7884,11472,8632,8632
2018,"Liechtenstein",44,91,5,1373,249,247,313,347
2018,"Norway",4691,10877,925,135,9,26,42,40
2018,"Switzerland",9683,22196,1869,25538,6672,7590,4966,4037
2018,"United Kingdom",49569,138726,10693,36940,4621,8961,9961,9357
2018,"Montenegro",336,1394,183,188783,61415,55110,44513,23743
2018,"North Macedonia",2032,4140,415,1730,386,550,342,452
2018,"Albania",6981,2087,1586,6210,1216,1531,1407,1982
2018,"Serbia",6191,14633,1890,20824,2864,5867,5784,6197
2018,"Turkey",48688,104440,8312,153128,47825,42057,35780,15201
2019,"Belgium",12992,21630,1563,35069,3586,7618,8258,9250
2019,"Bulgaria",4561,25303,1475,29625,3744,2926,8164,10249
2019,"Czechia",7371,31405,1296,38776,7430,8631,8656,9797
2019,"Denmark",4616,10355,469,23688,5084,6618,4558,4909
2019,"Germany (until 1990 former territory of the FRG)",81411,269784,14023,351195,70682,43325,80318,135664
2019,"Estonia",1061,3508,172,4569,903,633,930,1208
2019,"Ireland",9039,7298,463,16366,4939,4022,3725,2551
2019,"Greece",4521,53258,4258,65513,10264,18921,17386,13675
2019,"Spain",35378,118356,12389,180633,37134,43166,39967,52400
2019,"France",94889,116273,8075,211162,29027,40667,46167,67536
2019,"Croatia",3406,10564,864,13885,3482,3104,3216,3594
2019,"Italy",53114,189481,17114,242595,21345,42314,42629,85586
2019,"Cyprus",833,2492,248,3325,327,804,706,902
2019,"Latvia",1412,4883,248,6295,1079,687,1495,1870
2019,"Lithuania",2884,9939,716,13681,3368,2035,2879,3397
2019,"Luxembourg",505,1178,92,1683,73,390,511,527
2019,"Hungary",7096,25615,2371,32543,6628,5507,6296,7845
2019,"Malta",379,984,81,1855,813,360,297,292
2019,"Netherlands",27730,34000,1770,61730,19013,14968,12157,12401
2019,"Austria",13834,23814,1335,45596,8610,12098,11337,11000
2019,"Poland",15908,74376,5497,90284,4939,4022,3725,2551
2019,"Portugal",27076,25642,2085,51241,4939,4022,3725,2551
2019,"Romania",15020,42309,2655,57329,17423,14133,12336,10866
2019,"Slovenia",1405,4758,648,6408,1626,1604,1339,1441
2019,"Finland",6849,10648,703,18864,4264,3718,3988,4339
2019,"Sweden",6388,22300,1043,18258,3736,4510,5258,4805
2019,"Iceland",215,817,15,41993,7884,11472,8632,8632
2019,"Liechtenstein",48,96,5,1404,259,270,317,348
2019,"Norway",4714,11200,950,144,11,27,45,40
2019,"Switzerland",9628,21658,1817,26276,6751,7873,5225,4058
2019,"United Kingdom",51096,145367,11274,36324,4584,8943,9955,9132
2019,"Montenegro",303,1356,183,195669,64992,57049,45065,23736
2019,"North Macedonia",2032,4140,415,1659,389,498,357,406
2019,"Albania",9039,2087,463,6210,1216,1531,1407,1982
2019,"Serbia",6084,14689,1919,20824,2640,6196,5865,5992
2019,"Turkey",47999,101998,7362,149997,46847,41197,35049,14890
