"TIME","Pais","Gasto_Cuidado_Rehabilitacion","Gasto_Cuidado_Rehabilitacion_Ingresados","Gasto_Hospitales","Gasto_Hospitales_Mentales","Gasto_Hospitales_Especiales"
2016,"United Kingdom",136192.08,56495.08,100001.51,205.3,282.27
2016,"Bosnia and Herzegovina",820.06,437.93,500.74,3.67,33.58
2017,"Belgium",23906.54,12731.57,15811.55,1969.84,80.27
2017,"Bulgaria",2006.41,1247.53,1403.75,25.03,295.54
2017,"Czechia",7357.2,3380.47,5669.18,208,427.48
2017,"Denmark",16505.51,7518.47,13113.92,1176.06,0
2017,"Germany (until 1990 former territory of the FRG)",182998,97440,103625,208,9727
2017,"Estonia",869.75,349.6,698.46,4.36,14.68
2017,"Ireland",11741.64,5339.38,7849.1,328.44,849.25
2017,"Greece",8778.55,5997.15,6232.66,367.47,492.36
2017,"Spain",59676.78,25923.83,44954.44,834.18,2326.83
2017,"France",139688.13,71857.97,100473.63,13857.59,420.23
2017,"Croatia",1871.95,724.82,1538.75,50.15,117.58
2017,"Italy",82356,41126,67203,208,295.54
2017,"Cyprus",835.76,386.34,609.26,10.39,61.49
2017,"Latvia",803.76,314.57,520.36,37.39,86.05
2017,"Lithuania",1454.31,767.16,948.67,21.78,116.88
2017,"Luxembourg",1638.15,731.69,938.06,51.79,61.45
2017,"Hungary",4587.13,2407.83,3255.3,7.25,253.54
2017,"Malta",529.87,249.15,439.97,30.29,24.77
2017,"Netherlands",38520,14437,25136,3897,1051
2017,"Austria",22688.5,12503.94,14799.28,208,1752.05
2017,"Poland",19318.21,10363.9,12057.11,331.99,2492.86
2017,"Portugal",11813.53,3117.22,7522.09,128.45,295.54
2017,"Romania",5258.72,3122.19,4271.85,155.89,961.38
2017,"Slovenia",2046.92,964.45,1442.33,51.71,264.32
2017,"Slovakia",2982.34,1609.99,1872.65,31.25,11.51
2017,"Finland",12334.4,4693.03,7603.44,5.9,295.54
2017,"Sweden",26550.43,10448.36,19923.82,208,295.54
2017,"Iceland",1092.5,509.67,708.45,0,0
2017,"Liechtenstein",199.95,90.39,27.44,0,3.8
2017,"Norway",17889.89,9376.86,14251.31,3301.17,0
2017,"Switzerland",39185.9,18553.19,26104.49,2073.28,3176.08
2017,"United Kingdom",132341.57,55046.13,97194.49,208,295.54
2017,"Bosnia and Herzegovina",845.49,457.09,512.02,3.92,33
2018,"Belgium",24013.32,12727.77,16099.04,2023.88,78.55
2018,"Bulgaria",2201.73,1493.35,1590.43,26.13,326.25
2018,"Czechia",8685.66,3868.83,6758.27,232.81,499.5
2018,"Denmark",16909.24,7655.19,13395.01,1215.78,0
2018,"Germany (until 1990 former territory of the FRG)",189130,100563,107023,232.81,10101
2018,"Estonia",955.4,385.01,765.16,4.51,15.45
2018,"Ireland",12535.74,5719.96,8348.05,372.05,938.09
2018,"Greece",8842.9,6083.22,6322.76,350.97,511.84
2018,"Spain",62279.47,26890.06,46596.06,852.35,2392.95
2018,"France",142099.18,72475.39,100742.59,13966.05,416.38
2018,"Croatia",1996.37,745.96,1669.47,52.07,116.26
2018,"Italy",83278,41444,67644,232.81,326.25
2018,"Cyprus",887.01,415.46,656.43,12.02,67.34
2018,"Latvia",932.22,391,605.99,43.9,96.92
2018,"Lithuania",1642.64,851.57,1057.83,22.98,160.95
2018,"Luxembourg",1781.95,798.23,1047.06,57.42,67.49
2018,"Hungary",4866.63,2532.98,3466.85,7.85,265.16
2018,"Malta",553.46,252.81,454.49,26.59,20.14
2018,"Netherlands",39958,14912,26248,4084,1199
2018,"Austria",23617.25,12974.46,15367.62,232.81,1829.74
2018,"Poland",19708.84,10705.7,12935.19,360.71,2652.49
2018,"Portugal",12546.42,3383.49,7975.93,133.73,326.25
2018,"Romania",6529.74,4147.06,5286.5,193.96,1141.69
2018,"Slovenia",2235.84,1050.7,1575.11,56.43,297.32
2018,"Slovakia",3223.69,1752.83,2029.64,34.76,12.58
2018,"Finland",12698.58,4752.04,8008.44,5.78,326.25
2018,"Sweden",26203.76,10379.69,19855.92,232.81,326.25
2018,"Iceland",1134.58,523.52,737.65,0,0
2018,"Liechtenstein",197.21,89.4,26.85,0,3.2
2018,"Norway",17979.27,9407.45,14331.44,3322.53,0
2018,"Switzerland",38436.67,17964.68,25508.61,2031.33,3127.39
2018,"United Kingdom",135823.39,55591.76,98679.72,232.81,326.25
2018,"Bosnia and Herzegovina",916.8,499.97,561.19,4.31,32.46
